running on 6718 samples
training model...
trained model...
sample 317 correct/failed threshold, score = 0.545791
sample 318 correct/failed threshold, score = 0.506890
sample 319 correct/failed threshold, score = 0.635324
sample 320 incorrect/failed threshold, score = 0.615902
sample 321 correct, score = 0.219114
sample 322 correct, score = 0.425978
sample 323 correct, score = 0.302495
sample 324 correct/failed threshold, score = 0.564528
sample 325 incorrect/failed threshold, score = 0.593075
sample 326 incorrect/failed threshold, score = 0.637525
sample 327 correct, score = 0.087933
sample 328 correct, score = 0.405204
sample 329 correct/failed threshold, score = 0.563067
sample 330 correct, score = 0.413678
sample 331 incorrect/failed threshold, score = 0.567596
sample 332 correct, score = 0.369716
sample 333 incorrect/failed threshold, score = 0.617844
sample 334 correct, score = 0.157150
sample 335 incorrect/failed threshold, score = 0.579641
sample 336 correct/failed threshold, score = 0.523451
sample 337 incorrect/failed threshold, score = 0.707515
sample 338 correct, score = 0.303333
sample 339 incorrect/failed threshold, score = 0.604426
sample 340 incorrect/failed threshold, score = 0.614588
sample 341 correct, score = 0.141653
sample 342 incorrect/failed threshold, score = 0.555430
sample 343 correct/failed threshold, score = 0.521870
sample 344 correct/failed threshold, score = 0.518540
sample 345 correct/failed threshold, score = 0.524648
sample 346 incorrect/failed threshold, score = 0.568304
sample 347 incorrect/failed threshold, score = 0.623038
sample 348 incorrect/failed threshold, score = 0.707228
sample 349 tone not detected, 1 false positives, score = 0.314723
sample 350 incorrect/failed threshold, score = 0.573047
sample 351 incorrect/failed threshold, score = 0.591385
sample 352 incorrect/failed threshold, score = 0.626182
sample 353 incorrect/failed threshold, score = 0.675583
sample 354 incorrect/failed threshold, score = 0.596586
sample 355 incorrect/failed threshold, score = 0.562025
sample 356 correct/failed threshold, score = 0.448402
sample 357 correct, score = 0.353885
sample 358 correct, score = 0.132437
sample 359 correct/failed threshold, score = 0.494576
sample 360 incorrect/failed threshold, score = 0.568259
sample 361 correct/failed threshold, score = 0.591545
sample 362 incorrect/failed threshold, score = 0.581722
sample 363 correct, score = 0.166787
sample 364 correct/failed threshold, score = 0.617808
sample 365 correct/failed threshold, score = 0.479020
sample 366 correct, score = 0.277376
sample 367 correct, score = 0.397180
sample 368 incorrect/failed threshold, score = 0.622866
sample 369 correct/failed threshold, score = 0.558484
sample 370 correct, score = 0.306568
sample 371 correct/failed threshold, score = 0.453461
sample 372 correct/failed threshold, score = 0.490730
sample 373 incorrect/failed threshold, score = 0.619758
sample 374 incorrect/failed threshold, score = 0.633667
sample 375 correct/failed threshold, score = 0.582677
sample 376 correct, score = 0.297854
sample 377 correct, score = 0.385086
sample 378 correct, score = 0.434001
sample 379 incorrect/failed threshold, score = 0.577268
sample 380 correct/failed threshold, score = 0.564268
sample 381 correct, score = 0.388789
sample 382 correct/failed threshold, score = 0.602749
sample 383 incorrect/failed threshold, score = 0.589984
sample 384 tone not detected, 1 false positives, score = 0.395153
sample 385 incorrect/failed threshold, score = 0.608066
sample 386 correct/failed threshold, score = 0.650369
sample 387 correct/failed threshold, score = 0.552046
sample 388 correct/failed threshold, score = 0.481566
sample 389 correct, score = 0.412317
sample 390 correct, score = 0.415854
sample 391 correct/failed threshold, score = 0.524084
sample 392 incorrect/failed threshold, score = 0.612719
sample 393 correct, score = 0.395022
sample 394 correct/failed threshold, score = 0.456387
sample 395 correct/failed threshold, score = 0.576332
sample 396 correct/failed threshold, score = 0.621490
sample 397 correct, score = 0.391962
sample 398 correct/failed threshold, score = 0.559191
sample 399 correct/failed threshold, score = 0.467801
sample 400 correct, score = 0.318615
sample 401 correct, score = 0.386451
sample 402 correct/failed threshold, score = 0.540681
sample 403 incorrect/failed threshold, score = 0.591496
sample 404 incorrect/failed threshold, score = 0.619237
sample 405 correct, score = 0.311849
sample 406 correct/failed threshold, score = 0.493396
sample 407 correct/failed threshold, score = 0.547605
sample 408 incorrect/failed threshold, score = 0.581597
sample 409 correct, score = 0.372933
sample 410 correct/failed threshold, score = 0.543135
sample 411 correct, score = 0.249502
sample 412 correct, score = 0.359193
sample 413 correct, score = 0.413994
sample 414 correct, score = 0.170378
sample 415 correct, score = 0.314912
sample 416 correct, score = 0.092876
sample 417 correct/failed threshold, score = 0.586070
sample 418 incorrect/failed threshold, score = 0.608979
sample 419 correct, score = 0.410841
sample 420 correct, score = 0.369807
sample 421 correct, score = 0.295435
sample 422 incorrect/failed threshold, score = 0.653055
sample 423 correct, score = 0.359652
sample 424 correct/failed threshold, score = 0.498260
sample 425 correct/failed threshold, score = 0.451824
sample 426 correct, score = 0.184968
sample 427 incorrect/failed threshold, score = 0.691471
sample 428 incorrect/failed threshold, score = 0.653643
sample 429 correct/failed threshold, score = 0.506425
sample 430 correct/failed threshold, score = 0.575314
sample 431 incorrect/failed threshold, score = 0.631035
sample 432 correct/failed threshold, score = 0.551678
sample 433 correct/failed threshold, score = 0.449661
sample 434 correct/failed threshold, score = 0.555579
sample 435 correct/failed threshold, score = 0.440609
sample 436 correct/failed threshold, score = 0.572281
sample 437 incorrect/failed threshold, score = 0.573878
sample 438 correct/failed threshold, score = 0.455822
sample 439 correct, score = 0.195868
sample 440 correct/failed threshold, score = 0.664498
sample 441 correct/failed threshold, score = 0.487387
sample 442 incorrect/failed threshold, score = 0.477827
sample 443 correct/failed threshold, score = 0.604326
sample 444 correct, score = 0.301050
sample 445 tone not detected, 1 false positives, score = 0.240949
sample 446 correct, score = 0.393993
sample 447 incorrect/failed threshold, score = 0.570367
sample 448 correct/failed threshold, score = 0.621971
sample 449 correct/failed threshold, score = 0.659795
sample 450 incorrect/failed threshold, score = 0.646405
sample 451 incorrect/failed threshold, score = 0.635416
sample 452 correct/failed threshold, score = 0.573921
sample 453 correct, score = 0.304625
sample 454 correct, score = 0.341086
sample 455 correct/failed threshold, score = 0.653591
sample 456 correct, score = 0.418350
sample 457 incorrect/failed threshold, score = 0.558434
sample 458 tone not detected, 1 false positives, score = 0.438378
sample 459 correct with 1 false positives, score = 0.285827
sample 460 correct, score = 0.234596
sample 461 incorrect/failed threshold, score = 0.565684
sample 462 correct, score = 0.328964
sample 463 correct, score = 0.138689
sample 464 correct, score = 0.320031
sample 465 incorrect/failed threshold, score = 0.524673
sample 466 incorrect/failed threshold, score = 0.628508
sample 467 incorrect/failed threshold, score = 0.561462
sample 468 correct, score = 0.328080
sample 469 correct, score = 0.380057
sample 470 correct, score = 0.311412
sample 471 correct/failed threshold, score = 0.543577
sample 472 correct, score = 0.310504
sample 473 incorrect/failed threshold, score = 0.720108
sample 474 correct, score = 0.333213
sample 475 incorrect/failed threshold, score = 0.617721
sample 476 correct/failed threshold, score = 0.507311
sample 477 correct/failed threshold, score = 0.579590
sample 478 correct/failed threshold, score = 0.510329
sample 479 incorrect/failed threshold, score = 0.623663
sample 480 incorrect/failed threshold, score = 0.543422
sample 481 correct, score = 0.160096
sample 482 correct, score = 0.224736
sample 483 correct/failed threshold, score = 0.485789
sample 484 correct, score = 0.407209
sample 485 correct, score = 0.191828
sample 486 tone not detected, 1 false positives, score = 0.257886
sample 487 correct, score = 0.185284
sample 488 correct/failed threshold, score = 0.574645
sample 489 correct/failed threshold, score = 0.544065
sample 490 correct/failed threshold, score = 0.528397
sample 491 incorrect/failed threshold, score = 0.658486
sample 492 incorrect/failed threshold, score = 0.633313
sample 493 incorrect/failed threshold, score = 0.565440
sample 494 correct, score = 0.333497
sample 495 correct/failed threshold, score = 0.462915
sample 496 correct, score = 0.193754
sample 497 correct/failed threshold, score = 0.705462
sample 498 incorrect/failed threshold, score = 0.647968
sample 499 correct/failed threshold, score = 0.602786
sample 500 correct/failed threshold, score = 0.477488
sample 501 correct, score = 0.145504
sample 502 correct, score = 0.221960
sample 503 correct, score = 0.335500
sample 504 correct, score = 0.218409
sample 505 correct, score = 0.406718
sample 506 correct/failed threshold, score = 0.524399
sample 507 correct, score = 0.402729
sample 508 correct/failed threshold, score = 0.607842
sample 509 correct, score = 0.188188
sample 510 correct/failed threshold, score = 0.575272
sample 511 correct/failed threshold, score = 0.514091
sample 512 correct/failed threshold, score = 0.476320
sample 513 correct/failed threshold, score = 0.687917
sample 514 correct, score = 0.437732
sample 515 correct/failed threshold, score = 0.570352
sample 516 correct, score = 0.375167
sample 517 correct/failed threshold, score = 0.451820
sample 518 correct, score = 0.423114
sample 519 correct/failed threshold, score = 0.584626
sample 520 correct, score = 0.357229
sample 521 correct/failed threshold, score = 0.454944
sample 522 correct, score = 0.170331
sample 523 correct/failed threshold, score = 0.494202
sample 524 incorrect/failed threshold, score = 0.642628
sample 525 correct, score = 0.393884
sample 526 incorrect/failed threshold, score = 0.789329
sample 527 tone not detected, 1 false positives, score = 0.395931
sample 528 incorrect/failed threshold, score = 0.678311
sample 529 correct, score = 0.287653
sample 530 correct/failed threshold, score = 0.524246
sample 531 correct/failed threshold, score = 0.679587
sample 532 correct/failed threshold, score = 0.481612
sample 533 correct/failed threshold, score = 0.601747
sample 534 correct, score = 0.403020
sample 535 correct/failed threshold, score = 0.549905
sample 536 correct, score = 0.222190
sample 537 correct/failed threshold, score = 0.510661
sample 538 correct/failed threshold, score = 0.595365
sample 539 correct, score = 0.380169
sample 540 incorrect/failed threshold, score = 0.651871
sample 541 tone not detected, 1 false positives, score = 0.403726
sample 542 incorrect/failed threshold, score = 0.599727
sample 543 correct, score = 0.200679
sample 544 incorrect/failed threshold, score = 0.574398
sample 545 correct/failed threshold, score = 0.578681
sample 546 correct, score = 0.388567
sample 547 incorrect/failed threshold, score = 0.573654
sample 548 correct/failed threshold, score = 0.583402
sample 549 correct/failed threshold, score = 0.548592
sample 550 correct/failed threshold, score = 0.567676
sample 551 correct, score = 0.393397
sample 552 correct, score = 0.327303
sample 553 correct/failed threshold, score = 0.507366
