running on 6718 samples
training model...
trained model...
sample 233 correct/failed threshold, score = 0.517013
sample 234 correct, score = 0.173280
sample 235 incorrect/failed threshold, score = 1.454023
sample 236 correct/failed threshold, score = 0.385016
sample 237 correct/failed threshold, score = 0.745870
sample 238 correct, score = 0.257194
sample 239 incorrect/failed threshold, score = 1.349520
sample 240 incorrect/failed threshold, score = 0.790582
sample 241 incorrect/failed threshold, score = 1.084703
sample 242 correct/failed threshold, score = 0.392536
sample 243 correct, score = 0.321003
sample 244 correct/failed threshold, score = 0.480895
sample 245 correct/failed threshold, score = 0.388349
sample 246 correct, score = 0.256275
sample 247 incorrect/failed threshold, score = 1.212506
sample 248 correct, score = 0.228094
sample 249 incorrect/failed threshold, score = 0.769468
sample 250 correct/failed threshold, score = 0.566109
sample 251 correct/failed threshold, score = 0.426241
sample 252 correct/failed threshold, score = 0.476419
sample 253 incorrect/failed threshold, score = 0.658637
sample 254 incorrect/failed threshold, score = 0.665833
sample 255 correct/failed threshold, score = 0.438117
sample 256 correct, score = 0.374347
sample 257 correct/failed threshold, score = 0.383929
sample 258 correct/failed threshold, score = 0.891838
sample 259 correct/failed threshold, score = 0.404552
sample 260 correct/failed threshold, score = 0.469820
sample 261 correct, score = 0.310119
sample 262 correct/failed threshold, score = 0.559816
sample 263 correct/failed threshold, score = 0.554358
sample 264 correct/failed threshold, score = 0.482071
sample 265 correct/failed threshold, score = 0.530464
sample 266 incorrect/failed threshold, score = 0.691815
sample 267 correct/failed threshold, score = 0.416008
sample 268 correct/failed threshold, score = 0.654193
sample 269 incorrect/failed threshold, score = 0.648963
sample 270 correct, score = 0.235547
sample 271 correct/failed threshold, score = 0.384024
sample 272 correct, score = 0.265753
sample 273 correct/failed threshold, score = 1.000644
sample 274 incorrect/failed threshold, score = 0.777891
sample 275 correct, score = 0.327600
sample 276 incorrect/failed threshold, score = 0.731332
sample 277 correct/failed threshold, score = 0.610068
sample 278 correct/failed threshold, score = 0.497009
sample 279 correct, score = 0.343453
sample 280 incorrect/failed threshold, score = 0.599578
sample 281 correct, score = 0.193762
sample 282 correct/failed threshold, score = 0.587685
sample 283 incorrect/failed threshold, score = 1.141088
sample 284 correct/failed threshold, score = 0.569682
sample 285 correct/failed threshold, score = 0.647853
sample 286 incorrect/failed threshold, score = 0.739250
sample 287 correct/failed threshold, score = 0.548503
sample 288 correct/failed threshold, score = 0.552950
sample 289 correct, score = 0.324353
sample 290 correct/failed threshold, score = 0.477381
sample 291 correct/failed threshold, score = 0.413421
sample 292 incorrect/failed threshold, score = 0.686767
sample 293 correct, score = 0.328948
sample 294 correct, score = 0.163566
sample 295 correct/failed threshold, score = 0.521728
sample 296 correct/failed threshold, score = 0.593823
sample 297 correct, score = 0.249185
sample 298 correct/failed threshold, score = 0.500423
sample 299 incorrect/failed threshold, score = 1.155631
sample 300 incorrect/failed threshold, score = 0.730079
sample 301 correct, score = 0.234204
sample 302 correct/failed threshold, score = 0.596762
sample 303 correct/failed threshold, score = 0.389901
sample 304 correct/failed threshold, score = 0.436393
sample 305 incorrect/failed threshold, score = 1.082149
sample 306 correct/failed threshold, score = 0.444360
sample 307 incorrect/failed threshold, score = 0.676253
sample 308 correct, score = 0.278259
sample 309 correct/failed threshold, score = 0.544805
sample 310 incorrect/failed threshold, score = 0.630673
sample 311 correct/failed threshold, score = 0.449203
sample 312 correct/failed threshold, score = 0.520991
sample 313 correct/failed threshold, score = 0.416610
sample 314 incorrect/failed threshold, score = 0.766569
sample 315 incorrect/failed threshold, score = 0.626784
sample 316 correct/failed threshold, score = 0.388814
sample 317 correct/failed threshold, score = 0.545467
sample 318 correct/failed threshold, score = 0.507180
sample 319 correct/failed threshold, score = 0.634772
sample 320 incorrect/failed threshold, score = 0.677400
sample 321 correct, score = 0.216833
sample 322 correct/failed threshold, score = 0.425470
sample 323 correct, score = 0.303050
sample 324 correct/failed threshold, score = 0.567155
sample 325 incorrect/failed threshold, score = 0.848275
sample 326 incorrect/failed threshold, score = 1.300263
sample 327 correct, score = 0.085383
sample 328 correct/failed threshold, score = 0.404704
sample 329 correct/failed threshold, score = 0.561954
sample 330 correct/failed threshold, score = 0.410085
sample 331 incorrect/failed threshold, score = 0.676128
sample 332 correct, score = 0.368686
sample 333 incorrect/failed threshold, score = 0.713051
sample 334 correct, score = 0.165121
sample 335 incorrect/failed threshold, score = 0.599711
sample 336 correct/failed threshold, score = 0.520143
sample 337 incorrect/failed threshold, score = 0.738033
sample 338 correct, score = 0.305036
sample 339 incorrect/failed threshold, score = 0.792367
sample 340 incorrect/failed threshold, score = 0.685001
sample 341 correct, score = 0.140937
sample 342 incorrect/failed threshold, score = 0.685089
sample 343 correct/failed threshold, score = 0.518934
sample 344 correct/failed threshold, score = 0.518164
sample 345 correct/failed threshold, score = 0.912742
sample 346 incorrect/failed threshold, score = 0.854678
sample 347 incorrect/failed threshold, score = 0.792202
sample 348 incorrect/failed threshold, score = 1.323747
sample 349 incorrect/failed threshold, score = 1.105892
sample 350 incorrect/failed threshold, score = 0.855252
sample 351 incorrect/failed threshold, score = 0.738045
sample 352 incorrect/failed threshold, score = 0.695295
sample 353 incorrect/failed threshold, score = 0.742554
sample 354 incorrect/failed threshold, score = 0.734504
sample 355 incorrect/failed threshold, score = 0.665054
sample 356 correct/failed threshold, score = 0.447445
sample 357 correct, score = 0.353141
sample 358 correct, score = 0.136433
sample 359 correct/failed threshold, score = 0.499702
sample 360 incorrect/failed threshold, score = 0.837428
sample 361 correct/failed threshold, score = 0.591815
sample 362 incorrect/failed threshold, score = 0.806898
sample 363 correct, score = 0.167409
sample 364 correct/failed threshold, score = 0.627156
sample 365 correct/failed threshold, score = 0.478847
sample 366 correct, score = 0.275933
sample 367 correct/failed threshold, score = 0.396596
sample 368 incorrect/failed threshold, score = 0.729725
sample 369 correct/failed threshold, score = 0.559338
sample 370 correct, score = 0.311153
sample 371 correct/failed threshold, score = 0.453062
sample 372 correct/failed threshold, score = 0.490686
sample 373 incorrect/failed threshold, score = 0.796465
sample 374 incorrect/failed threshold, score = 0.798196
sample 375 correct/failed threshold, score = 0.582637
sample 376 correct, score = 0.296750
sample 377 correct/failed threshold, score = 0.384155
sample 378 correct/failed threshold, score = 0.429977
sample 379 incorrect/failed threshold, score = 0.654827
sample 380 correct/failed threshold, score = 0.564292
sample 381 correct/failed threshold, score = 0.387948
sample 382 correct/failed threshold, score = 0.616209
sample 383 incorrect/failed threshold, score = 0.597026
sample 384 incorrect/failed threshold, score = 1.366630
