running on 6718 samples
training model...
trained model...
sample 465 incorrect/failed threshold, score = 1.123074
sample 466 incorrect/failed threshold, score = 0.721044
sample 467 incorrect/failed threshold, score = 0.789999
sample 468 correct, score = 0.328080
sample 469 correct, score = 0.380057
sample 470 correct, score = 0.311412
sample 471 correct, score = 0.543577
sample 472 correct, score = 0.310504
sample 473 incorrect/failed threshold, score = 1.210533
sample 474 correct, score = 0.333213
sample 475 incorrect/failed threshold, score = 1.008773
sample 476 correct, score = 0.507311
sample 477 correct, score = 0.579590
sample 478 correct, score = 0.510329
sample 479 incorrect/failed threshold, score = 0.791412
sample 480 incorrect/failed threshold, score = 0.880171
sample 481 correct, score = 0.160096
sample 482 correct, score = 0.224736
sample 483 correct, score = 0.485789
sample 484 correct, score = 0.407209
sample 485 correct, score = 0.191828
sample 486 incorrect/failed threshold, score = 1.293725
sample 487 correct, score = 0.185284
sample 488 correct, score = 0.574645
sample 489 correct, score = 0.544065
sample 490 correct, score = 0.528397
sample 491 incorrect/failed threshold, score = 0.757036
sample 492 incorrect/failed threshold, score = 0.860843
sample 493 incorrect/failed threshold, score = 0.789557
sample 494 correct, score = 0.333497
sample 495 correct, score = 0.462915
sample 496 correct, score = 0.193754
sample 497 correct, score = 0.705462
sample 498 incorrect/failed threshold, score = 0.766234
sample 499 correct, score = 0.602786
sample 500 correct, score = 0.477488
sample 501 correct, score = 0.145504
sample 502 correct, score = 0.221960
sample 503 correct, score = 0.335500
sample 504 correct, score = 0.218409
sample 505 correct, score = 0.406718
sample 506 correct, score = 0.524399
sample 507 correct, score = 0.402729
sample 508 correct, score = 0.607842
sample 509 correct, score = 0.188188
sample 510 correct, score = 0.575272
sample 511 correct, score = 0.514091
sample 512 correct, score = 0.476320
sample 513 correct, score = 0.687917
sample 514 correct, score = 0.437732
sample 515 correct, score = 0.570352
sample 516 correct, score = 0.375167
sample 517 correct, score = 0.451820
sample 518 correct, score = 0.423114
sample 519 correct, score = 0.584626
sample 520 correct, score = 0.357229
sample 521 correct, score = 0.454944
sample 522 correct, score = 0.170331
sample 523 correct, score = 0.494202
sample 524 no tones detected, score = 0.663809
sample 525 correct, score = 0.393884
sample 526 incorrect/failed threshold, score = 1.077818
sample 527 incorrect/failed threshold, score = 1.027458
sample 528 no tones detected, score = 0.712642
sample 529 correct, score = 0.287653
sample 530 correct, score = 0.524246
sample 531 correct, score = 0.679587
sample 532 correct, score = 0.481612
sample 533 correct, score = 0.611098
sample 534 correct, score = 0.403020
sample 535 correct, score = 0.549905
sample 536 correct, score = 0.222190
sample 537 correct, score = 0.510661
sample 538 correct, score = 0.595365
sample 539 correct, score = 0.380169
sample 540 incorrect/failed threshold, score = 1.167505
sample 541 incorrect/failed threshold, score = 1.040233
sample 542 incorrect/failed threshold, score = 0.730654
sample 543 correct, score = 0.200679
sample 544 no tones detected, score = 0.624274
sample 545 correct, score = 0.578681
sample 546 correct, score = 0.388567
sample 547 incorrect/failed threshold, score = 1.067801
sample 548 correct, score = 0.583402
sample 549 correct, score = 0.548592
sample 550 correct, score = 0.567676
sample 551 correct, score = 0.393397
sample 552 correct, score = 0.327303
sample 553 correct, score = 0.507366
sample 554 no tones detected, score = 0.675517
sample 555 correct, score = 0.596303
sample 556 correct, score = 0.388475
sample 557 correct, score = 0.261879
sample 558 correct, score = 0.269969
sample 559 correct, score = 0.603572
sample 560 incorrect/failed threshold, score = 1.375329
sample 561 incorrect/failed threshold, score = 1.134813
sample 562 correct, score = 0.241656
sample 563 correct, score = 0.493479
sample 564 correct, score = 0.340778
sample 565 correct, score = 0.338798
sample 566 correct, score = 0.331791
sample 567 correct, score = 0.452342
sample 568 incorrect/failed threshold, score = 1.297375
sample 569 correct, score = 0.508709
sample 570 correct, score = 0.506750
sample 571 correct, score = 0.436946
sample 572 correct, score = 0.571740
sample 573 correct, score = 0.440490
sample 574 incorrect/failed threshold, score = 0.733543
sample 575 correct, score = 0.431847
sample 576 correct, score = 0.483214
sample 577 correct, score = 0.288498
sample 578 correct, score = 0.446549
sample 579 correct, score = 0.520857
sample 580 incorrect/failed threshold, score = 1.051579
sample 581 correct, score = 0.570880
sample 582 correct, score = 0.331775
sample 583 correct, score = 0.263962
sample 584 incorrect/failed threshold, score = 1.344213
sample 585 incorrect/failed threshold, score = 1.273743
sample 586 incorrect/failed threshold, score = 0.957150
sample 587 incorrect/failed threshold, score = 0.754712
sample 588 correct, score = 0.408888
sample 589 incorrect/failed threshold, score = 0.822913
sample 590 incorrect/failed threshold, score = 0.843739
sample 591 correct, score = 0.580518
sample 592 correct, score = 0.207288
sample 593 correct, score = 0.323691
sample 594 incorrect/failed threshold, score = 0.749137
sample 595 correct, score = 0.448203
sample 596 incorrect/failed threshold, score = 0.772236
sample 597 incorrect/failed threshold, score = 0.801107
sample 598 no tones detected, score = 0.706781
sample 599 correct, score = 0.131566
sample 600 correct, score = 0.344885
sample 601 correct, score = 0.369506
sample 602 correct, score = 0.423066
sample 603 no tones detected, score = 0.600226
sample 604 correct, score = 0.204711
sample 605 correct, score = 0.262011
sample 606 correct, score = 0.390403
sample 607 correct, score = 0.208887
sample 608 correct, score = 0.267655
sample 609 correct, score = 0.600719
sample 610 correct, score = 0.353916
sample 611 correct/failed threshold, score = 1.169406
